Scale,Query,Dim,Mode,IC_id,EOC,WOC,CPC,FPC,TOC
100,27,4,AP Nexus,0,45519.0,23491.0,13.0,546228.0,69010.0
100,27,4,AP Nexus,1,1.0,0.0,1.0,0.0,1.0
100,27,4,AP Nexus,-1,45520.0,23491.0,14.0,546228.0,69011.0
100,27,4,GP Nexus,0,36621.0,23491.0,14.0,476073.0,60112.0
100,27,4,GP Nexus,1,1.0,0.0,1.0,0.0,1.0
100,27,4,GP Nexus,-1,36622.0,23491.0,15.0,476073.0,60113.0
100,27,4,GP AdaNexus,0,3145.9657516418933,8031.215787838971,13.0,37751.58901970272,11177.181539480864
100,27,4,GP AdaNexus,1,1.0,0.0,1.0,0.0,1.0
100,27,4,GP AdaNexus,-1,3146.9657516418933,8031.215787838971,14.0,37751.58901970272,11178.181539480864
10,27,4,AP Nexus,0,23854.0,1.0,7.0,143124.0,23855.0
10,27,4,AP Nexus,1,23578.0,1.0,4.0,70734.0,23579.0
10,27,4,AP Nexus,2,23578.0,1.0,4.0,70734.0,23579.0
10,27,4,AP Nexus,3,67426.0,34021.0,15.0,943964.0,101447.0
10,27,4,AP Nexus,4,1.0,0.0,1.0,0.0,1.0
10,27,4,AP Nexus,-1,138437.0,34024.0,31.0,1228556.0,172461.0
10,27,4,GP Nexus,0,23608.0,1.0,7.0,141648.0,23609.0
10,27,4,GP Nexus,1,23578.0,1.0,5.0,94312.0,23579.0
10,27,4,GP Nexus,2,23578.0,1.0,8.0,165046.0,23579.0
10,27,4,GP Nexus,3,33891.0,16561.0,12.0,372801.0,50452.0
10,27,4,GP Nexus,4,1.0,0.0,1.0,0.0,1.0
10,27,4,GP Nexus,-1,104656.0,16564.0,33.0,773807.0,121220.0
10,27,4,GP AdaNexus,0,15.545791184361432,1.4149125889210972,6.0,77.72895592180716,16.96070377328253
10,27,4,GP AdaNexus,1,15.545791184361432,1.4149125889210972,5.0,62.18316473744573,16.96070377328253
10,27,4,GP AdaNexus,2,15.545851602237784,1.414912559272764,8.0,108.82096121566448,16.960764161510546
10,27,4,GP AdaNexus,3,4235.570867184627,7478.10189492628,12.0,46591.2795390309,11713.672762110906
10,27,4,GP AdaNexus,4,1.0,0.0,1.0,0.0,1.0
10,27,4,GP AdaNexus,-1,4283.208301155588,7482.346632663394,32.0,46840.012620905814,11765.554933818981
125,27,4,AP Nexus,0,888.0,435.0,11.0,8880.0,1323.0
125,27,4,AP Nexus,1,1.0,0.0,1.0,0.0,1.0
125,27,4,AP Nexus,-1,889.0,435.0,12.0,8880.0,1324.0
125,27,4,GP Nexus,0,8675.0,4116.0,8.0,60725.0,12791.0
125,27,4,GP Nexus,1,1.0,0.0,1.0,0.0,1.0
125,27,4,GP Nexus,-1,8676.0,4116.0,9.0,60725.0,12792.0
125,27,4,GP AdaNexus,0,2709.990890136553,2950.19110915253,7.0,16259.945340819319,5660.181999289083
125,27,4,GP AdaNexus,1,1.0,0.0,1.0,0.0,1.0
125,27,4,GP AdaNexus,-1,2710.990890136553,2950.19110915253,8.0,16259.945340819319,5661.181999289083
150,27,4,AP Nexus,0,888.0,435.0,9.0,7104.0,1323.0
150,27,4,AP Nexus,1,1.0,0.0,1.0,0.0,1.0
150,27,4,AP Nexus,-1,889.0,435.0,10.0,7104.0,1324.0
150,27,4,GP Nexus,0,3711.0,906.0,7.0,22266.0,4617.0
150,27,4,GP Nexus,1,1.0,0.0,1.0,0.0,1.0
150,27,4,GP Nexus,-1,3712.0,906.0,8.0,22266.0,4618.0
150,27,4,GP AdaNexus,0,716.0434565332254,658.023839151668,6.0,3580.2172826661267,1374.0672956848935
150,27,4,GP AdaNexus,1,1.0,0.0,1.0,0.0,1.0
150,27,4,GP AdaNexus,-1,717.0434565332254,658.023839151668,7.0,3580.2172826661267,1375.0672956848935
1,27,4,AP Nexus,0,23700.0,1.0,11.0,237000.0,23701.0
1,27,4,AP Nexus,1,23578.0,1.0,8.0,165046.0,23579.0
1,27,4,AP Nexus,2,46292.0,811.0,18.0,786964.0,47103.0
1,27,4,AP Nexus,3,45444.0,781.0,15.0,636216.0,46225.0
1,27,4,AP Nexus,4,64178.0,30751.0,24.0,1476094.0,94929.0
1,27,4,AP Nexus,5,1.0,0.0,1.0,0.0,1.0
1,27,4,AP Nexus,-1,203193.0,32345.0,77.0,3301320.0,235538.0
1,27,4,GP Nexus,0,22767.0,0.0,7.0,136602.0,22767.0
1,27,4,GP Nexus,1,23578.0,1.0,6.0,117890.0,23579.0
1,27,4,GP Nexus,2,34141.0,464.0,13.0,409692.0,34605.0
1,27,4,GP Nexus,3,29482.0,361.0,14.0,383266.0,29843.0
1,27,4,GP Nexus,4,19962.0,5641.0,15.0,279468.0,25603.0
1,27,4,GP Nexus,5,1.0,0.0,1.0,0.0,1.0
1,27,4,GP Nexus,-1,129931.0,6467.0,56.0,1326918.0,136398.0
1,27,4,GP AdaNexus,0,15.474719946526482,0.0,9.0,123.79775957221186,15.474719946526482
1,27,4,GP AdaNexus,1,15.545791184361432,1.4149125889210972,6.0,77.72895592180716,16.96070377328253
1,27,4,GP AdaNexus,2,24.252662624947316,81.03046891027812,12.0,266.7792888744205,105.28313153522544
1,27,4,GP AdaNexus,3,22.97169666839275,68.86631042942568,14.0,298.63205668910575,91.83800709781843
1,27,4,GP AdaNexus,4,1568.3242855920362,2486.933039854195,16.0,23524.864283880543,4055.2573254462313
1,27,4,GP AdaNexus,5,1.0,0.0,1.0,0.0,1.0
1,27,4,GP AdaNexus,-1,1647.569156016264,2638.24473178282,58.0,24291.80234493809,4285.813887799084
200,27,4,AP Nexus,0,872.0,435.0,8.0,6104.0,1307.0
200,27,4,AP Nexus,1,1.0,0.0,1.0,0.0,1.0
200,27,4,AP Nexus,-1,873.0,435.0,9.0,6104.0,1308.0
200,27,4,GP Nexus,0,3711.0,875.0,6.0,18555.0,4586.0
200,27,4,GP Nexus,1,1.0,0.0,1.0,0.0,1.0
200,27,4,GP Nexus,-1,3712.0,875.0,7.0,18555.0,4587.0
200,27,4,GP AdaNexus,0,669.4176474138309,624.9693811687686,6.0,3347.0882370691543,1294.3870285825994
200,27,4,GP AdaNexus,1,1.0,0.0,1.0,0.0,1.0
200,27,4,GP AdaNexus,-1,670.4176474138309,624.9693811687686,7.0,3347.0882370691543,1295.3870285825994
20,27,4,AP Nexus,0,23581.0,1.0,9.0,188648.0,23582.0
20,27,4,AP Nexus,1,23578.0,1.0,7.0,141468.0,23579.0
20,27,4,AP Nexus,2,67429.0,34021.0,11.0,674290.0,101450.0
20,27,4,AP Nexus,3,1.0,0.0,1.0,0.0,1.0
20,27,4,AP Nexus,-1,114589.0,34023.0,28.0,1004406.0,148612.0
20,27,4,GP Nexus,0,23840.0,1.0,7.0,143040.0,23841.0
20,27,4,GP Nexus,1,22765.0,0.0,6.0,113825.0,22765.0
20,27,4,GP Nexus,2,35530.0,18871.0,12.0,390830.0,54401.0
20,27,4,GP Nexus,3,1.0,0.0,1.0,0.0,1.0
20,27,4,GP Nexus,-1,82136.0,18872.0,26.0,647695.0,101008.0
20,27,4,GP AdaNexus,0,15.553924762799435,1.4149086090157355,8.0,108.87747333959604,16.96883337181517
20,27,4,GP AdaNexus,1,15.47452983890656,0.0,6.0,77.3726491945328,15.47452983890656
20,27,4,GP AdaNexus,2,4258.251194965783,8099.725785316342,11.0,42582.511949657826,12357.976980282125
20,27,4,GP AdaNexus,3,1.0,0.0,1.0,0.0,1.0
20,27,4,GP AdaNexus,-1,4290.279649567488,8101.1406939253575,26.0,42768.76207219195,12391.420343492846
250,27,4,AP Nexus,0,874.0,435.0,7.0,5244.0,1309.0
250,27,4,AP Nexus,1,1.0,0.0,1.0,0.0,1.0
250,27,4,AP Nexus,-1,875.0,435.0,8.0,5244.0,1310.0
250,27,4,GP Nexus,0,3711.0,874.0,6.0,18555.0,4585.0
250,27,4,GP Nexus,1,1.0,0.0,1.0,0.0,1.0
250,27,4,GP Nexus,-1,3712.0,874.0,7.0,18555.0,4586.0
250,27,4,GP AdaNexus,0,661.2449986333187,619.1324457397253,4.0,1983.7349958999562,1280.377444373044
250,27,4,GP AdaNexus,1,1.0,0.0,1.0,0.0,1.0
250,27,4,GP AdaNexus,-1,662.2449986333187,619.1324457397253,5.0,1983.7349958999562,1281.377444373044
50,27,4,AP Nexus,0,23593.0,1.0,11.0,235930.0,23594.0
50,27,4,AP Nexus,1,45502.0,23491.0,9.0,364016.0,68993.0
50,27,4,AP Nexus,2,1.0,0.0,1.0,0.0,1.0
50,27,4,AP Nexus,-1,69096.0,23492.0,21.0,599946.0,92588.0
50,27,4,GP Nexus,0,23588.0,1.0,13.0,283056.0,23589.0
50,27,4,GP Nexus,1,32510.0,20011.0,9.0,260080.0,52521.0
50,27,4,GP Nexus,2,1.0,0.0,1.0,0.0,1.0
50,27,4,GP Nexus,-1,56099.0,20012.0,23.0,543136.0,76111.0
50,27,4,GP AdaNexus,0,15.55362433669546,1.4149087556113065,10.0,139.98261903025914,16.968533092306767
50,27,4,GP AdaNexus,1,3325.8457031345274,7572.294201280629,7.0,19955.074218807164,10898.139904415157
50,27,4,GP AdaNexus,2,1.0,0.0,1.0,0.0,1.0
50,27,4,GP AdaNexus,-1,3342.399327471223,7573.70911003624,18.0,20095.056837837423,10916.108437507464
5,27,4,AP Nexus,0,23652.0,1.0,8.0,165564.0,23653.0
5,27,4,AP Nexus,1,23578.0,1.0,4.0,70734.0,23579.0
5,27,4,AP Nexus,2,46293.0,811.0,17.0,740688.0,47104.0
5,27,4,AP Nexus,3,67426.0,34021.0,12.0,741686.0,101447.0
5,27,4,AP Nexus,4,1.0,0.0,1.0,0.0,1.0
5,27,4,AP Nexus,-1,160950.0,34834.0,42.0,1718672.0,195784.0
5,27,4,GP Nexus,0,22765.0,0.0,4.0,68295.0,22765.0
5,27,4,GP Nexus,1,23578.0,1.0,6.0,117890.0,23579.0
5,27,4,GP Nexus,2,38717.0,541.0,13.0,464604.0,39258.0
5,27,4,GP Nexus,3,28223.0,12789.0,11.0,282230.0,41012.0
5,27,4,GP Nexus,4,1.0,0.0,1.0,0.0,1.0
5,27,4,GP Nexus,-1,113284.0,13331.0,35.0,933019.0,126615.0
5,27,4,GP AdaNexus,0,15.47870643067778,0.0,6.0,77.3935321533889,15.47870643067778
5,27,4,GP AdaNexus,1,15.545791184361432,1.4149125889210972,6.0,77.72895592180716,16.96070377328253
5,27,4,GP AdaNexus,2,24.837827136429127,88.97724949570488,13.0,298.0539256371495,113.81507663213401
5,27,4,GP AdaNexus,3,3863.0370556856105,6195.575382454228,10.0,34767.33350117049,10058.612438139839
5,27,4,GP AdaNexus,4,1.0,0.0,1.0,0.0,1.0
5,27,4,GP AdaNexus,-1,3919.899380437079,6285.967544538854,36.0,35220.50991488284,10205.866924975933
100,22,3,AP Nexus,0,6914.0,5556.0,4.0,20742.0,12470.0
100,22,3,AP Nexus,1,7091.0,5517.0,6.0,35455.0,12608.0
100,22,3,AP Nexus,2,4026.0,3387.0,6.0,20130.0,7413.0
100,22,3,AP Nexus,3,1168.0,1012.0,6.0,5840.0,2180.0
100,22,3,AP Nexus,4,1.0,0.0,1.0,0.0,1.0
100,22,3,AP Nexus,-1,19200.0,15472.0,23.0,82167.0,34672.0
100,22,3,GP Nexus,0,4956.0,3047.0,4.0,14868.0,8003.0
100,22,3,GP Nexus,1,678.0,668.0,6.0,3390.0,1346.0
100,22,3,GP Nexus,2,202.0,191.0,6.0,1010.0,393.0
100,22,3,GP Nexus,3,34.0,25.0,6.0,170.0,59.0
100,22,3,GP Nexus,4,1.0,0.0,1.0,0.0,1.0
100,22,3,GP Nexus,-1,5871.0,3931.0,23.0,19438.0,9802.0
100,22,3,GP AdaNexus,0,1222.167787329223,1754.2190898749452,4.0,3666.5033619876695,2976.3868772041683
100,22,3,GP AdaNexus,1,15.380109021279386,101.98482331277853,7.0,92.28065412767631,117.36493233405791
100,22,3,GP AdaNexus,2,24.104619701180855,67.45495137270744,6.0,120.52309850590427,91.55957107388829
100,22,3,GP AdaNexus,3,96.91147557666358,46.16019525176317,6.0,484.5573778833179,143.07167082842676
100,22,3,GP AdaNexus,4,1.0,0.0,1.0,0.0,1.0
100,22,3,GP AdaNexus,-1,1359.563991628347,1969.8190598121942,24.0,4363.864492504568,3329.383051440541
10,22,3,AP Nexus,0,6020.0,3809.0,4.0,18060.0,9829.0
10,22,3,AP Nexus,1,4002.0,3665.0,6.0,20010.0,7667.0
10,22,3,AP Nexus,2,1.0,0.0,1.0,0.0,1.0
10,22,3,AP Nexus,-1,10023.0,7474.0,11.0,38070.0,17497.0
10,22,3,GP Nexus,0,3256.0,1035.0,5.0,13024.0,4291.0
10,22,3,GP Nexus,1,223.0,188.0,6.0,1115.0,411.0
10,22,3,GP Nexus,2,1.0,0.0,1.0,0.0,1.0
10,22,3,GP Nexus,-1,3480.0,1223.0,12.0,14139.0,4703.0
10,22,3,GP AdaNexus,0,767.7341215936881,718.7129967635672,5.0,3070.9364863747523,1486.4471183572552
10,22,3,GP AdaNexus,1,89.86331465415395,126.59395024975309,6.0,449.31657327076977,216.45726490390706
10,22,3,GP AdaNexus,2,1.0,0.0,1.0,0.0,1.0
10,22,3,GP AdaNexus,-1,858.5974362478421,845.3069470133203,12.0,3520.253059645522,1703.9043832611624
125,22,3,AP Nexus,0,6694.0,5273.0,3.0,13388.0,11967.0
125,22,3,AP Nexus,1,7079.0,5521.0,6.0,35395.0,12600.0
125,22,3,AP Nexus,2,3965.0,3365.0,6.0,19825.0,7330.0
125,22,3,AP Nexus,3,1095.0,1006.0,6.0,5475.0,2101.0
